table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
DIAPER_STOOL,IS_WET_DIAPER,,,YES,tinyint,tinyint(1),,,
DIAPER_STOOL,IS_DIRTY_DIAPER,,,YES,tinyint,tinyint(1),,,
DIAPER_STOOL,IS_USER_DISPUTE,,,YES,tinyint,tinyint(1),,,
DRAFT_EDITORS,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
DRAFT_EDITORS,USERID,MUL,,NO,int,int(10) unsigned,,USER,ID
DRAFT_EDITORS,TOC_PRIVACY_DRAFTID,MUL,,NO,int,int(10) unsigned,,TOC_PRIVACY_DRAFT,ID
DRAFT_EDITORS,ACTION,,,NO,enum,"enum('create','update')",,,
DRAFT_EDITORS,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
EDUCATION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
EDUCATION,NAME,,,YES,varchar,varchar(250),,,
EDUCATION,LOCALEID,MUL,,YES,int,int(10) unsigned,,LOCALE,ID
EDUCATION,ENGLISHID,,,YES,int,int(11),,,
EDUCATION,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
EDUCATION,APPLANGACODE,,,YES,varchar,varchar(250),,,
EDUCATION_FEEDBACK,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
EDUCATION_FEEDBACK,EDUCATIONID,MUL,,YES,int,int(10) unsigned,,EDUCATION,ID
EDUCATION_FEEDBACK,QUESTION,,,YES,text,text,,,
EDUCATION_FEEDBACK,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
EDUCATION_FEEDBACK,LOCALEID,MUL,,YES,int,int(10) unsigned,,LOCALE,ID
EDUCATION_FEEDBACK,ENGLISHID,,,YES,int,int(11),,,
EDUCATION_FEEDBACK,APPLANGACODE,,,YES,varchar,varchar(250),,,
EDUCATION_VIDEO,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
EDUCATION_VIDEO,TITLE,,,YES,varchar,varchar(100),,,
EDUCATION_VIDEO,EDUCATIONID,MUL,,YES,int,int(10) unsigned,,EDUCATION,ID
EDUCATION_VIDEO,LOCALEID,MUL,,YES,int,int(10) unsigned,,LOCALE,ID
EDUCATION_VIDEO,ENGLISHID,,,YES,int,int(11),,,
EDUCATION_VIDEO,APPLANGACODE,,,YES,varchar,varchar(250),,,
EXPRESS_FEEDING,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
EXPRESS_FEEDING,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
EXPRESS_FEEDING,CONVERTED_SI_PREPARED_VALUE,,,NO,float,"float(8,2)",,,
EXPRESS_FEEDING,MEASURE_PREPARED_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
EXPRESS_FEEDING,CONVERTED_SI_REMAINING_VALUE,,,NO,float,"float(8,2)",,,
EXPRESS_FEEDING,MEASURE_REMAINING_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
EXPRESS_FEEDING,CONVERTED_SI_CONSUMED_VALUE,,,NO,float,"float(8,2)",,,
EXPRESS_FEEDING,MEASURE_CONSUMED_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
EXPRESS_FEEDING,ACTUAL_PREPARED_VALUE,,,NO,float,"float(8,2)",,,
EXPRESS_FEEDING,ACTUAL_PREPARED_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
EXPRESS_FEEDING,ACTUAL_REMAINING_VALUE,,,NO,float,"float(8,2)",,,
EXPRESS_FEEDING,ACTUAL_REMAINING_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
EXPRESS_FEEDING,ACTUAL_CONSUMED_VALUE,,,NO,float,"float(8,2)",,,
EXPRESS_FEEDING,ACTUAL_CONSUMED_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
EXPRESS_FEEDING,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
EXPRESS_FEEDING,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
FEEDING,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
FEEDING,FEEDING_TYPEID,MUL,,NO,int,int(10) unsigned,,FEEDING_TYPE,ID
FEEDING,FEEDINGID,,,YES,int,int(10) unsigned,,,
FEEDING,TAKEN_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
FEEDING,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
